,vib
0,22.056
1,30.056
2,54.056
3,78.056
4,-25.944
5,22.056
6,62.056
7,-9.9439
8,6.0561
9,-9.9439
10,-1.9439
11,30.056
12,-17.944
13,30.056
14,102.06
15,46.056
16,30.056
17,22.056
18,-17.944
19,30.056
20,62.056
21,-25.944
22,-41.944
23,62.056
24,30.056
25,30.056
26,-25.944
27,-1.9439
28,134.06
29,70.056
30,14.056
31,22.056
32,30.056
33,78.056
34,38.056
35,-1.9439
36,54.056
37,46.056
38,38.056
39,14.056
40,46.056
41,94.056
42,-9.9439
43,-17.944
44,6.0561
45,38.056
46,-169.94
47,-97.944
48,102.06
49,38.056
50,14.056
51,-129.94
52,14.056
53,142.06
54,102.06
55,30.056
56,-73.944
57,-33.944
58,30.056
59,54.056
60,54.056
61,-97.944
62,-49.944
63,-73.944
64,-9.9439
65,38.056
66,6.0561
67,30.056
68,-17.944
69,-9.9439
70,126.06
71,30.056
72,6.0561
73,46.056
74,14.056
75,14.056
76,-33.944
77,-57.944
78,-17.944
79,-65.944
80,-73.944
81,-49.944
82,22.056
83,-73.944
84,-105.94
85,118.06
86,222.06
87,-57.944
88,-201.94
89,126.06
90,494.06
91,182.06
92,-273.94
93,14.056
94,302.06
95,54.056
96,-265.94
97,-153.94
98,222.06
99,86.056
100,-233.94
101,-81.944
102,102.06
103,14.056
104,-121.94
105,-1.9439
106,142.06
107,-1.9439
108,-185.94
109,-33.944
110,142.06
111,-9.9439
112,-145.94
113,-73.944
114,6.0561
115,70.056
116,30.056
117,-49.944
118,-9.9439
119,-9.9439
120,94.056
121,214.06
122,30.056
123,14.056
124,54.056
125,102.06
126,22.056
127,-73.944
128,-57.944
129,14.056
130,22.056
131,-137.94
132,-113.94
133,-73.944
134,-17.944
135,14.056
136,-81.944
137,6.0561
138,-9.9439
139,-33.944
140,30.056
141,6.0561
142,-17.944
143,38.056
144,46.056
145,-9.9439
146,-41.944
147,22.056
148,70.056
149,22.056
150,-89.944
151,-73.944
152,30.056
153,-1.9439
154,22.056
155,62.056
156,22.056
157,14.056
158,30.056
159,54.056
160,46.056
161,-17.944
162,-1.9439
163,30.056
164,-49.944
165,-49.944
166,-1.9439
167,-41.944
168,-41.944
169,-1.9439
170,38.056
171,6.0561
172,-33.944
173,38.056
174,94.056
175,14.056
176,-121.94
177,-57.944
178,-49.944
179,14.056
180,30.056
181,-81.944
182,-17.944
183,30.056
184,30.056
185,78.056
186,6.0561
187,-17.944
188,6.0561
189,30.056
190,30.056
191,-25.944
192,-65.944
193,-65.944
194,30.056
195,-9.9439
196,-105.94
197,-41.944
198,-25.944
199,62.056
200,-9.9439
201,-121.94
202,-9.9439
203,-9.9439
204,-25.944
205,14.056
206,46.056
207,-33.944
208,6.0561
209,94.056
210,62.056
211,22.056
212,6.0561
213,14.056
214,62.056
215,-1.9439
216,-41.944
217,-57.944
218,-65.944
219,14.056
220,-1.9439
221,-41.944
222,-1.9439
223,-41.944
224,46.056
225,22.056
226,-81.944
227,-41.944
228,-9.9439
229,46.056
230,14.056
231,-81.944
232,-49.944
233,-1.9439
234,62.056
235,-9.9439
236,-57.944
237,-41.944
238,-89.944
239,14.056
240,14.056
241,-9.9439
242,-9.9439
243,-113.94
244,62.056
245,134.06
246,-113.94
247,-129.94
248,-41.944
249,102.06
250,38.056
251,-233.94
252,-25.944
253,78.056
254,46.056
255,-57.944
256,-193.94
257,-9.9439
258,-17.944
259,14.056
260,-9.9439
261,-145.94
262,-49.944
263,-57.944
264,86.056
265,30.056
266,-41.944
267,-41.944
268,22.056
269,46.056
270,14.056
271,-49.944
272,-65.944
273,-9.9439
274,38.056
275,46.056
276,22.056
277,-57.944
278,14.056
279,86.056
280,-17.944
281,-1.9439
282,-9.9439
283,-17.944
284,22.056
285,-17.944
286,38.056
287,-41.944
288,-65.944
289,30.056
290,46.056
291,46.056
292,-33.944
293,6.0561
294,78.056
295,94.056
296,46.056
297,-81.944
298,6.0561
299,38.056
300,-25.944
301,-25.944
302,-81.944
303,-57.944
304,22.056
305,-33.944
306,-1.9439
307,-9.9439
308,-81.944
309,-1.9439
310,-25.944
311,-17.944
312,-1.9439
313,-121.94
314,-65.944
315,6.0561
316,46.056
317,30.056
318,-81.944
319,-97.944
320,46.056
321,78.056
322,-1.9439
323,-49.944
324,6.0561
325,-49.944
